id,book,chapter,verse,language,number_phrases,number_words,ratio
426582,Genesis,1,1,hbo,4,11,2.75
426583,Genesis,1,2,hbo,4,7,1.75
426584,Genesis,1,2,hbo,3,5,1.6666666666666667
426585,Genesis,1,2,hbo,4,8,2.0
426586,Genesis,1,3,hbo,3,3,1.0
426587,Genesis,1,3,hbo,2,2,1.0
426588,Genesis,1,3,hbo,3,3,1.0
426589,Genesis,1,4,hbo,4,6,1.5
426590,Genesis,1,4,hbo,2,2,1.0
426591,Genesis,1,4,hbo,4,10,2.5
426592,Genesis,1,5,hbo,5,7,1.4
426593,Genesis,1,5,hbo,4,6,1.5
426594,Genesis,1,5,hbo,3,3,1.0
426595,Genesis,1,5,hbo,3,3,1.0
426596,Genesis,1,5,hbo,1,2,2.0
426597,Genesis,1,6,hbo,3,3,1.0
426598,Genesis,1,6,hbo,3,6,2.0
426599,Genesis,1,6,hbo,4,7,1.75
426600,Genesis,1,7,hbo,4,6,1.5
426601,Genesis,1,7,hbo,3,9,3.0
426602,Genesis,1,7,hbo,2,6,3.0
426603,Genesis,1,7,hbo,2,6,3.0
426604,Genesis,1,7,hbo,3,3,1.0
426605,Genesis,1,8,hbo,5,7,1.4
426606,Genesis,1,8,hbo,3,3,1.0
426607,Genesis,1,8,hbo,3,3,1.0
426608,Genesis,1,8,hbo,1,2,2.0
426609,Genesis,1,9,hbo,3,3,1.0
426610,Genesis,1,9,hbo,3,10,3.3333333333333335
426611,Genesis,1,9,hbo,3,4,1.3333333333333333
426612,Genesis,1,9,hbo,3,3,1.0
426613,Genesis,1,10,hbo,5,7,1.4
426614,Genesis,1,10,hbo,4,7,1.75
426615,Genesis,1,10,hbo,3,3,1.0
426616,Genesis,1,10,hbo,2,2,1.0
426617,Genesis,1,11,hbo,3,3,1.0
426618,Genesis,1,11,hbo,3,7,2.3333333333333335
426619,Genesis,1,11,hbo,2,2,1.0
426620,Genesis,1,11,hbo,4,7,1.75
426621,Genesis,1,11,hbo,3,3,1.0
426622,Genesis,1,11,hbo,3,3,1.0
426623,Genesis,1,12,hbo,4,8,2.0
426624,Genesis,1,12,hbo,3,4,1.3333333333333333
426625,Genesis,1,12,hbo,3,4,1.3333333333333333
426626,Genesis,1,12,hbo,3,3,1.0
426627,Genesis,1,12,hbo,3,3,1.0
426628,Genesis,1,12,hbo,2,2,1.0
426629,Genesis,1,13,hbo,3,3,1.0
426630,Genesis,1,13,hbo,3,3,1.0
426631,Genesis,1,13,hbo,1,2,2.0
426632,Genesis,1,14,hbo,3,3,1.0
426633,Genesis,1,14,hbo,3,6,2.0
426634,Genesis,1,14,hbo,2,9,4.5
426635,Genesis,1,14,hbo,3,12,4.0
426636,Genesis,1,15,hbo,4,8,2.0
426637,Genesis,1,15,hbo,2,5,2.5
426638,Genesis,1,15,hbo,3,3,1.0
426639,Genesis,1,16,hbo,4,9,2.25
426640,Genesis,1,16,hbo,1,9,9.0
426641,Genesis,1,16,hbo,2,10,5.0
426642,Genesis,1,16,hbo,2,4,2.0
426643,Genesis,1,17,hbo,5,8,1.6
426644,Genesis,1,17,hbo,2,5,2.5
426645,Genesis,1,18,hbo,3,10,3.3333333333333335
426646,Genesis,1,18,hbo,3,10,3.3333333333333335
426647,Genesis,1,18,hbo,3,3,1.0
426648,Genesis,1,18,hbo,2,2,1.0
426649,Genesis,1,19,hbo,3,3,1.0
426650,Genesis,1,19,hbo,3,3,1.0
426651,Genesis,1,19,hbo,1,2,2.0
426652,Genesis,1,20,hbo,3,3,1.0
426653,Genesis,1,20,hbo,3,6,2.0
426654,Genesis,1,20,hbo,4,11,2.75
426655,Genesis,1,21,hbo,5,14,2.8
426656,Genesis,1,21,hbo,2,2,1.0
426657,Genesis,1,21,hbo,2,2,1.0
426658,Genesis,1,21,hbo,3,4,1.3333333333333333
426659,Genesis,1,21,hbo,3,7,2.3333333333333335
426660,Genesis,1,21,hbo,3,3,1.0
426661,Genesis,1,21,hbo,2,2,1.0
426662,Genesis,1,22,hbo,4,4,1.0
426663,Genesis,1,22,hbo,1,2,2.0
426664,Genesis,1,22,hbo,1,1,1.0
426665,Genesis,1,22,hbo,2,2,1.0
426666,Genesis,1,22,hbo,3,8,2.6666666666666665
426667,Genesis,1,22,hbo,4,7,1.75
426668,Genesis,1,23,hbo,3,3,1.0
426669,Genesis,1,23,hbo,3,3,1.0
426670,Genesis,1,23,hbo,1,2,2.0
426671,Genesis,1,24,hbo,3,3,1.0
426672,Genesis,1,24,hbo,4,7,1.75
426673,Genesis,1,24,hbo,2,8,4.0
426674,Genesis,1,24,hbo,3,3,1.0
426675,Genesis,1,25,hbo,5,9,1.8
426676,Genesis,1,25,hbo,3,6,2.0
426677,Genesis,1,25,hbo,3,8,2.6666666666666665
426678,Genesis,1,25,hbo,3,3,1.0
426679,Genesis,1,25,hbo,2,2,1.0
426680,Genesis,1,26,hbo,3,3,1.0
426681,Genesis,1,26,hbo,4,6,1.5
426682,Genesis,1,26,hbo,3,25,8.333333333333334
426683,Genesis,1,26,hbo,3,5,1.6666666666666667
426684,Genesis,1,27,hbo,5,8,1.6
426685,Genesis,1,27,hbo,3,5,1.6666666666666667
426686,Genesis,1,27,hbo,3,5,1.6666666666666667
426687,Genesis,1,28,hbo,4,4,1.0
426688,Genesis,1,28,hbo,4,4,1.0
426689,Genesis,1,28,hbo,1,1,1.0
426690,Genesis,1,28,hbo,2,2,1.0
426691,Genesis,1,28,hbo,3,5,1.6666666666666667
426692,Genesis,1,28,hbo,2,2,1.0
426693,Genesis,1,28,hbo,3,15,5.0
426694,Genesis,1,28,hbo,3,5,1.6666666666666667
426695,Genesis,1,29,hbo,3,3,1.0
426696,Genesis,1,29,hbo,4,11,2.75
