id,book,chapter,verse,language,number_phrases,number_words,ratio
13921,1QM,1,1,Hebrew,2,3,1.5
13922,1QM,1,2,Hebrew,1,5,5.0
13923,1QM,1,2,Hebrew,2,25,12.5
13924,1QM,1,3,Hebrew,2,3,1.5
13925,1QM,1,3,Hebrew,1,2,2.0
13926,1QM,1,3,Hebrew,2,2,1.0
13927,1QM,1,4,Hebrew,3,14,4.666666666666667
13928,1QM,1,4,Hebrew,1,1,1.0
13929,1QM,1,4,Hebrew,1,4,4.0
13930,1QM,1,4,Hebrew,3,9,3.0
13931,1QM,1,4,Hebrew,2,5,2.5
13932,1QM,1,5,Hebrew,4,7,1.75
13933,1QM,1,5,Hebrew,2,4,2.0
13934,1QM,1,6,Hebrew,4,8,2.0
13935,1QM,1,6,Hebrew,2,6,3.0
13936,1QM,1,6,Hebrew,2,3,1.5
13937,1QM,1,6,Hebrew,1,2,2.0
13938,1QM,1,6,Hebrew,3,5,1.6666666666666667
13939,1QM,1,7,Hebrew,1,1,1.0
13940,1QM,1,7,Hebrew,1,20,20.0
13941,1QM,1,8,Hebrew,3,3,1.0
13942,1QM,1,8,Hebrew,1,1,1.0
13943,1QM,1,8,Hebrew,1,2,2.0
13944,1QM,1,9,Hebrew,3,3,1.0
13945,1QM,1,9,Hebrew,4,5,1.25
13946,1QM,1,10,Hebrew,3,4,1.3333333333333333
13947,1QM,1,10,Hebrew,2,3,1.5
13948,1QM,1,10,Hebrew,2,3,1.5
13949,1QM,1,11,Hebrew,5,7,1.4
13950,1QM,1,12,Hebrew,4,8,2.0
13951,1QM,1,12,Hebrew,1,1,1.0
13952,1QM,1,12,Hebrew,3,7,2.3333333333333335
13953,1QM,1,13,Hebrew,5,11,2.2
13954,1QM,1,13,Hebrew,2,14,7.0
13955,1QM,1,14,Hebrew,4,11,2.75
13956,1QM,1,14,Hebrew,3,4,1.3333333333333333
13957,1QM,1,14,Hebrew,3,3,1.0
13958,1QM,1,14,Hebrew,4,11,2.75
13959,1QM,1,15,Hebrew,4,11,2.75
13960,1QM,1,16,Hebrew,6,22,3.6666666666666665
13961,1QM,1,17,Hebrew,3,4,1.3333333333333333
13962,1QM,1,17,Hebrew,1,1,1.0
13963,1QM,1,17,Hebrew,1,1,1.0
13964,1QM,1,17,Hebrew,1,3,3.0
13965,1QM,1,18,Hebrew,5,9,1.8
13966,1QM,1,18,Hebrew,3,8,2.6666666666666665
13967,1QM,1,19,Hebrew,2,8,4.0
13968,1QM,1,19,Hebrew,1,1,1.0
13969,1QM,1,19,Hebrew,2,4,2.0
13970,1QM,1,20,Hebrew,3,5,1.6666666666666667
13971,1QM,1,20,Hebrew,2,3,1.5
13972,1QM,1,21,Hebrew,5,8,1.6
13973,1QM,1,22,Hebrew,1,3,3.0
13974,1QM,1,22,Hebrew,1,1,1.0
13975,1QM,1,22,Hebrew,2,3,1.5
13976,1QM,1,22,Hebrew,3,4,1.3333333333333333
13977,1QM,1,22,Hebrew,1,1,1.0
13978,1QM,1,23,Hebrew,4,11,2.75
13979,1QM,1,23,Hebrew,1,1,1.0
13980,1QM,1,23,Hebrew,1,3,3.0
13981,1QM,1,23,Hebrew,2,4,2.0
13982,1QM,1,24,Hebrew,1,1,1.0
13983,1QM,1,24,Hebrew,2,3,1.5
13984,1QM,1,24,Hebrew,2,5,2.5
13985,1QM,1,24,Hebrew,1,1,1.0
13986,1QM,1,24,Hebrew,1,1,1.0
13987,1QM,1,24,Hebrew,1,1,1.0
13988,1QM,1,24,Hebrew,1,1,1.0
13989,1QM,1,24,Hebrew,1,1,1.0
13990,1QM,1,24,Hebrew,2,2,1.0
13991,1QM,1,24,Hebrew,1,1,1.0
13992,1QM,2,1,Hebrew,1,6,6.0
13993,1QM,2,2,Hebrew,4,13,3.25
13994,1QM,2,2,Hebrew,1,3,3.0
13995,1QM,2,2,Hebrew,4,8,2.0
13996,1QM,2,3,Hebrew,4,11,2.75
13997,1QM,2,4,Hebrew,3,6,2.0
13998,1QM,2,4,Hebrew,2,3,1.5
13999,1QM,2,4,Hebrew,1,5,5.0
14000,1QM,2,5,Hebrew,3,5,1.6666666666666667
14001,1QM,2,5,Hebrew,2,4,2.0
14002,1QM,2,6,Hebrew,2,10,5.0
14003,1QM,2,6,Hebrew,3,7,2.3333333333333335
14004,1QM,2,7,Hebrew,6,29,4.833333333333333
14005,1QM,2,8,Hebrew,3,9,3.0
14006,1QM,2,8,Hebrew,3,7,2.3333333333333335
14007,1QM,2,8,Hebrew,2,7,3.5
14008,1QM,2,8,Hebrew,5,10,2.0
14009,1QM,2,9,Hebrew,3,9,3.0
14010,1QM,2,10,Hebrew,8,30,3.75
14011,1QM,2,10,Hebrew,2,3,1.5
14012,1QM,2,11,Hebrew,4,9,2.25
14013,1QM,2,11,Hebrew,1,2,2.0
14014,1QM,2,11,Hebrew,3,10,3.3333333333333335
14015,1QM,2,12,Hebrew,4,7,1.75
14016,1QM,2,12,Hebrew,1,2,2.0
14017,1QM,2,12,Hebrew,1,2,2.0
14018,1QM,2,12,Hebrew,4,6,1.5
14019,1QM,2,13,Hebrew,4,12,3.0
14020,1QM,2,13,Hebrew,5,7,1.4
14021,1QM,2,14,Hebrew,3,10,3.3333333333333335
14022,1QM,2,15,Hebrew,3,9,3.0
14023,1QM,2,16,Hebrew,3,7,2.3333333333333335
14024,1QM,2,17,Hebrew,3,15,5.0
14025,1QM,2,17,Hebrew,2,4,2.0
14026,1QM,2,18,Hebrew,3,11,3.6666666666666665
14027,1QM,2,19,Hebrew,3,22,7.333333333333333
14028,1QM,2,20,Hebrew,3,9,3.0
14029,1QM,2,21,Hebrew,3,9,3.0
14030,1QM,2,22,Hebrew,5,12,2.4
14031,1QM,2,22,Hebrew,2,3,1.5
14032,1QM,2,22,Hebrew,1,1,1.0
14033,1QM,2,22,Hebrew,1,3,3.0
14034,1QM,2,23,Hebrew,5,17,3.4
14035,1QM,3,1,Hebrew,1,1,1.0
14036,1QM,3,1,Hebrew,2,6,3.0
14037,1QM,3,1,Hebrew,1,1,1.0
14038,1QM,3,1,Hebrew,1,3,3.0
14039,1QM,3,1,Hebrew,2,2,1.0
14040,1QM,3,1,Hebrew,2,2,1.0
14041,1QM,3,3,Hebrew,1,3,3.0
14042,1QM,3,3,Hebrew,2,4,2.0
14043,1QM,3,3,Hebrew,2,5,2.5
14044,1QM,3,3,Hebrew,2,5,2.5
14045,1QM,3,3,Hebrew,2,13,6.5
14046,1QM,3,3,Hebrew,2,3,1.5
14047,1QM,3,3,Hebrew,2,4,2.0
