id,book,chapter,verse,language,phrase_length,number_letters,word_length
19919,1QM,1,1,Hebrew,1,2,2.0
19920,1QM,1,1,Hebrew,2,6,3.0
19921,1QM,1,2,Hebrew,5,18,3.6
19922,1QM,1,2,Hebrew,2,4,2.0
19923,1QM,1,2,Hebrew,23,64,2.782608695652174
19924,1QM,1,3,Hebrew,1,1,1.0
19925,1QM,1,3,Hebrew,2,4,2.0
19926,1QM,1,3,Hebrew,2,4,2.0
19927,1QM,1,3,Hebrew,1,6,6.0
19928,1QM,1,3,Hebrew,1,4,4.0
19929,1QM,1,4,Hebrew,11,34,3.090909090909091
19930,1QM,1,4,Hebrew,1,5,5.0
19931,1QM,1,4,Hebrew,2,2,1.0
19932,1QM,1,4,Hebrew,1,1,1.0
19933,1QM,1,4,Hebrew,4,11,2.75
19934,1QM,1,4,Hebrew,2,4,2.0
19935,1QM,1,4,Hebrew,3,10,3.3333333333333335
19936,1QM,1,4,Hebrew,4,10,2.5
19937,1QM,1,4,Hebrew,2,5,2.5
19938,1QM,1,4,Hebrew,3,12,4.0
19939,1QM,1,5,Hebrew,1,1,1.0
19940,1QM,1,5,Hebrew,3,9,3.0
19941,1QM,1,5,Hebrew,1,4,4.0
19942,1QM,1,5,Hebrew,2,3,1.5
19943,1QM,1,5,Hebrew,2,6,3.0
19944,1QM,1,5,Hebrew,2,6,3.0
19945,1QM,1,6,Hebrew,1,1,1.0
19946,1QM,1,6,Hebrew,3,4,1.3333333333333333
19947,1QM,1,6,Hebrew,1,3,3.0
19948,1QM,1,6,Hebrew,3,9,3.0
19949,1QM,1,6,Hebrew,2,5,2.5
19950,1QM,1,6,Hebrew,4,10,2.5
19951,1QM,1,6,Hebrew,1,1,1.0
19952,1QM,1,6,Hebrew,2,3,1.5
19953,1QM,1,6,Hebrew,2,6,3.0
19954,1QM,1,6,Hebrew,1,1,1.0
19955,1QM,1,6,Hebrew,2,6,3.0
19956,1QM,1,6,Hebrew,2,5,2.5
19957,1QM,1,7,Hebrew,1,2,2.0
19958,1QM,1,7,Hebrew,20,55,2.75
19959,1QM,1,8,Hebrew,1,1,1.0
19960,1QM,1,8,Hebrew,1,4,4.0
19961,1QM,1,8,Hebrew,1,5,5.0
19962,1QM,1,8,Hebrew,1,1,1.0
19963,1QM,1,8,Hebrew,2,6,3.0
19964,1QM,1,9,Hebrew,1,1,1.0
19965,1QM,1,9,Hebrew,1,3,3.0
19966,1QM,1,9,Hebrew,1,4,4.0
19967,1QM,1,9,Hebrew,1,1,1.0
19968,1QM,1,9,Hebrew,1,3,3.0
19969,1QM,1,9,Hebrew,1,4,4.0
19970,1QM,1,9,Hebrew,2,2,1.0
19971,1QM,1,10,Hebrew,1,1,1.0
19972,1QM,1,10,Hebrew,1,3,3.0
19973,1QM,1,10,Hebrew,2,10,5.0
19974,1QM,1,10,Hebrew,2,6,3.0
19975,1QM,1,10,Hebrew,1,4,4.0
19976,1QM,1,10,Hebrew,2,4,2.0
19977,1QM,1,10,Hebrew,1,5,5.0
19978,1QM,1,11,Hebrew,1,1,1.0
19979,1QM,1,11,Hebrew,1,4,4.0
19980,1QM,1,11,Hebrew,1,3,3.0
19981,1QM,1,11,Hebrew,1,4,4.0
19982,1QM,1,11,Hebrew,3,8,2.6666666666666665
19983,1QM,1,12,Hebrew,1,1,1.0
19984,1QM,1,12,Hebrew,2,6,3.0
19985,1QM,1,12,Hebrew,1,5,5.0
19986,1QM,1,12,Hebrew,4,12,3.0
19987,1QM,1,12,Hebrew,1,4,4.0
19988,1QM,1,12,Hebrew,1,1,1.0
19989,1QM,1,12,Hebrew,1,3,3.0
19990,1QM,1,12,Hebrew,5,17,3.4
19991,1QM,1,13,Hebrew,1,1,1.0
19992,1QM,1,13,Hebrew,3,7,2.3333333333333335
19993,1QM,1,13,Hebrew,1,4,4.0
19994,1QM,1,13,Hebrew,3,8,2.6666666666666665
19995,1QM,1,13,Hebrew,3,7,2.3333333333333335
19996,1QM,1,13,Hebrew,10,28,2.8
19997,1QM,1,13,Hebrew,4,10,2.5
19998,1QM,1,14,Hebrew,1,1,1.0
19999,1QM,1,14,Hebrew,2,4,2.0
20000,1QM,1,14,Hebrew,1,4,4.0
20001,1QM,1,14,Hebrew,2,2,1.0
20002,1QM,1,14,Hebrew,1,5,5.0
20003,1QM,1,14,Hebrew,4,12,3.0
20004,1QM,1,14,Hebrew,4,11,2.75
20005,1QM,1,14,Hebrew,1,3,3.0
20006,1QM,1,14,Hebrew,1,4,4.0
20007,1QM,1,14,Hebrew,1,3,3.0
20008,1QM,1,14,Hebrew,1,4,4.0
20009,1QM,1,14,Hebrew,2,2,1.0
