id,book,chapter,verse,language,sentence_length,number_words,clause_length
426582,Genesis,1,1,hbo,1,11,11.0
426583,Genesis,1,2,hbo,1,7,7.0
426584,Genesis,1,2,hbo,1,5,5.0
426585,Genesis,1,2,hbo,1,8,8.0
426586,Genesis,1,3,hbo,1,3,3.0
426587,Genesis,1,3,hbo,1,2,2.0
426588,Genesis,1,3,hbo,1,3,3.0
426590,Genesis,1,4,hbo,2,8,4.0
426591,Genesis,1,4,hbo,1,10,10.0
426592,Genesis,1,5,hbo,1,7,7.0
426593,Genesis,1,5,hbo,1,6,6.0
426594,Genesis,1,5,hbo,1,3,3.0
426595,Genesis,1,5,hbo,1,3,3.0
426596,Genesis,1,5,hbo,1,2,2.0
426597,Genesis,1,6,hbo,1,3,3.0
426598,Genesis,1,6,hbo,1,6,6.0
426599,Genesis,1,6,hbo,1,7,7.0
426600,Genesis,1,7,hbo,1,6,6.0
426603,Genesis,1,7,hbo,3,21,7.0
426604,Genesis,1,7,hbo,1,3,3.0
426605,Genesis,1,8,hbo,1,7,7.0
426606,Genesis,1,8,hbo,1,3,3.0
426607,Genesis,1,8,hbo,1,3,3.0
426608,Genesis,1,8,hbo,1,2,2.0
426609,Genesis,1,9,hbo,1,3,3.0
426610,Genesis,1,9,hbo,1,10,10.0
426611,Genesis,1,9,hbo,1,4,4.0
426612,Genesis,1,9,hbo,1,3,3.0
426613,Genesis,1,10,hbo,1,7,7.0
426614,Genesis,1,10,hbo,1,7,7.0
426616,Genesis,1,10,hbo,2,5,2.5
426617,Genesis,1,11,hbo,1,3,3.0
426621,Genesis,1,11,hbo,4,19,4.75
426622,Genesis,1,11,hbo,1,3,3.0
426626,Genesis,1,12,hbo,4,19,4.75
426628,Genesis,1,12,hbo,2,5,2.5
426629,Genesis,1,13,hbo,1,3,3.0
426630,Genesis,1,13,hbo,1,3,3.0
426631,Genesis,1,13,hbo,1,2,2.0
426632,Genesis,1,14,hbo,1,3,3.0
426634,Genesis,1,14,hbo,2,15,7.5
426635,Genesis,1,14,hbo,1,12,12.0
426637,Genesis,1,15,hbo,2,13,6.5
426638,Genesis,1,15,hbo,1,3,3.0
426642,Genesis,1,16,hbo,4,32,8.0
426646,Genesis,1,18,hbo,4,33,8.25
426648,Genesis,1,18,hbo,2,5,2.5
426649,Genesis,1,19,hbo,1,3,3.0
426650,Genesis,1,19,hbo,1,3,3.0
426651,Genesis,1,19,hbo,1,2,2.0
426652,Genesis,1,20,hbo,1,3,3.0
426653,Genesis,1,20,hbo,1,6,6.0
426654,Genesis,1,20,hbo,1,11,11.0
426659,Genesis,1,21,hbo,5,29,5.8
426661,Genesis,1,21,hbo,2,5,2.5
426663,Genesis,1,22,hbo,2,6,3.0
426664,Genesis,1,22,hbo,1,1,1.0
426665,Genesis,1,22,hbo,1,2,2.0
426666,Genesis,1,22,hbo,1,8,8.0
426667,Genesis,1,22,hbo,1,7,7.0
426668,Genesis,1,23,hbo,1,3,3.0
426669,Genesis,1,23,hbo,1,3,3.0
426670,Genesis,1,23,hbo,1,2,2.0
426671,Genesis,1,24,hbo,1,3,3.0
426673,Genesis,1,24,hbo,2,15,7.5
426674,Genesis,1,24,hbo,1,3,3.0
426677,Genesis,1,25,hbo,3,23,7.666666666666667
426679,Genesis,1,25,hbo,2,5,2.5
426680,Genesis,1,26,hbo,1,3,3.0
426681,Genesis,1,26,hbo,1,6,6.0
426683,Genesis,1,26,hbo,2,30,15.0
426684,Genesis,1,27,hbo,1,8,8.0
426685,Genesis,1,27,hbo,1,5,5.0
426686,Genesis,1,27,hbo,1,5,5.0
426687,Genesis,1,28,hbo,1,4,4.0
426688,Genesis,1,28,hbo,1,4,4.0
426689,Genesis,1,28,hbo,1,1,1.0
426690,Genesis,1,28,hbo,1,2,2.0
426691,Genesis,1,28,hbo,1,5,5.0
426692,Genesis,1,28,hbo,1,2,2.0
426694,Genesis,1,28,hbo,2,20,10.0
426695,Genesis,1,29,hbo,1,3,3.0
426703,Genesis,1,30,hbo,7,54,7.714285714285714
426701,Genesis,1,29,hbo,1,4,4.0
426704,Genesis,1,30,hbo,1,3,3.0
426706,Genesis,1,31,hbo,2,7,3.5
426707,Genesis,1,31,hbo,1,4,4.0
426708,Genesis,1,31,hbo,1,3,3.0
426709,Genesis,1,31,hbo,1,3,3.0
426710,Genesis,1,31,hbo,1,3,3.0
426711,Genesis,2,1,hbo,1,10,10.0
426713,Genesis,2,2,hbo,2,11,5.5
426715,Genesis,2,2,hbo,2,12,6.0
426716,Genesis,2,3,hbo,1,7,7.0
426717,Genesis,2,3,hbo,1,3,3.0
426720,Genesis,2,3,hbo,3,11,3.6666666666666665
426722,Genesis,2,4,hbo,2,9,4.5
426732,Genesis,2,7,hbo,3,19,6.333333333333333
426725,Genesis,2,5,hbo,1,10,10.0
426726,Genesis,2,5,hbo,1,7,7.0
426727,Genesis,2,5,hbo,1,8,8.0
426729,Genesis,2,5,hbo,2,8,4.0
426730,Genesis,2,6,hbo,1,6,6.0
426731,Genesis,2,6,hbo,1,7,7.0
426733,Genesis,2,7,hbo,1,6,6.0
426734,Genesis,2,7,hbo,1,7,7.0
426735,Genesis,2,8,hbo,1,9,9.0
426737,Genesis,2,8,hbo,2,8,4.0
426742,Genesis,2,9,hbo,5,31,6.2
426744,Genesis,2,10,hbo,2,10,5.0
426745,Genesis,2,10,hbo,1,4,4.0
426746,Genesis,2,10,hbo,1,5,5.0
426747,Genesis,2,11,hbo,1,4,4.0
426750,Genesis,2,11,hbo,3,12,4.0
426751,Genesis,2,12,hbo,1,7,7.0
426752,Genesis,2,12,hbo,1,7,7.0
426753,Genesis,2,13,hbo,1,7,7.0
426755,Genesis,2,13,hbo,2,7,3.5
426756,Genesis,2,14,hbo,1,7,7.0
426758,Genesis,2,14,hbo,2,5,2.5
426760,Genesis,2,14,hbo,2,7,3.5
426761,Genesis,2,15,hbo,1,7,7.0
426764,Genesis,2,15,hbo,3,10,3.3333333333333335
426766,Genesis,2,16,hbo,2,9,4.5
426767,Genesis,2,16,hbo,1,7,7.0
426769,Genesis,2,17,hbo,2,11,5.5
426771,Genesis,2,17,hbo,2,7,3.5
426772,Genesis,2,18,hbo,1,4,4.0
426774,Genesis,2,18,hbo,2,7,3.5
426775,Genesis,2,18,hbo,1,5,5.0
426776,Genesis,2,19,hbo,1,17,17.0
426779,Genesis,2,19,hbo,3,10,3.3333333333333335
426782,Genesis,2,19,hbo,3,11,3.6666666666666665
426783,Genesis,2,20,hbo,1,20,20.0
426784,Genesis,2,20,hbo,1,8,8.0
426785,Genesis,2,21,hbo,1,8,8.0
426786,Genesis,2,21,hbo,1,2,2.0
426787,Genesis,2,21,hbo,1,5,5.0
426788,Genesis,2,21,hbo,1,4,4.0
426790,Genesis,2,22,hbo,2,14,7.0
426791,Genesis,2,22,hbo,1,5,5.0
426792,Genesis,2,23,hbo,1,4,4.0
426793,Genesis,2,23,hbo,1,10,10.0
426794,Genesis,2,23,hbo,1,4,4.0
426795,Genesis,2,23,hbo,1,5,5.0
426796,Genesis,2,24,hbo,1,9,9.0
426797,Genesis,2,24,hbo,1,4,4.0
426798,Genesis,2,24,hbo,1,5,5.0
426799,Genesis,2,25,hbo,1,8,8.0
426800,Genesis,2,25,hbo,1,3,3.0
426802,Genesis,3,1,hbo,2,14,7.0
426803,Genesis,3,1,hbo,1,5,5.0
426804,Genesis,3,1,hbo,1,4,4.0
426805,Genesis,3,1,hbo,1,7,7.0
426806,Genesis,3,2,hbo,1,7,7.0
426807,Genesis,3,2,hbo,1,6,6.0
426811,Genesis,3,3,hbo,3,13,4.333333333333333
426810,Genesis,3,3,hbo,1,2,2.0
426812,Genesis,3,3,hbo,1,4,4.0
426813,Genesis,3,3,hbo,1,2,2.0
426814,Genesis,3,4,hbo,1,7,7.0
426815,Genesis,3,4,hbo,1,3,3.0
426821,Genesis,3,5,hbo,6,19,3.1666666666666665
426826,Genesis,3,6,hbo,5,23,4.6
426827,Genesis,3,6,hbo,1,4,4.0
426828,Genesis,3,6,hbo,1,2,2.0
426829,Genesis,3,6,hbo,1,6,6.0
426830,Genesis,3,6,hbo,1,2,2.0
426831,Genesis,3,7,hbo,1,4,4.0
426833,Genesis,3,7,hbo,2,5,2.5
426834,Genesis,3,7,hbo,1,4,4.0
426835,Genesis,3,7,hbo,1,4,4.0
426837,Genesis,3,8,hbo,2,14,7.0
426838,Genesis,3,8,hbo,1,15,15.0
426839,Genesis,3,9,hbo,1,7,7.0
426840,Genesis,3,9,hbo,1,3,3.0
426841,Genesis,3,9,hbo,1,1,1.0
426842,Genesis,3,10,hbo,1,2,2.0
426843,Genesis,3,10,hbo,1,6,6.0
426844,Genesis,3,10,hbo,1,2,2.0
426845,Genesis,3,10,hbo,1,3,3.0
426846,Genesis,3,10,hbo,1,2,2.0
426847,Genesis,3,11,hbo,1,2,2.0
426849,Genesis,3,11,hbo,2,6,3.0
426852,Genesis,3,11,hbo,3,11,3.6666666666666665
426853,Genesis,3,12,hbo,1,4,4.0
426857,Genesis,3,12,hbo,4,13,3.25
426858,Genesis,3,13,hbo,1,7,7.0
426859,Genesis,3,13,hbo,1,3,3.0
426860,Genesis,3,13,hbo,1,4,4.0
426861,Genesis,3,13,hbo,1,3,3.0
426862,Genesis,3,13,hbo,1,2,2.0
426863,Genesis,3,14,hbo,1,7,7.0
426864,Genesis,3,14,hbo,1,3,3.0
426865,Genesis,3,14,hbo,1,12,12.0
426866,Genesis,3,14,hbo,1,3,3.0
426867,Genesis,3,14,hbo,1,6,6.0
426868,Genesis,3,15,hbo,1,14,14.0
426869,Genesis,3,15,hbo,1,3,3.0
426870,Genesis,3,15,hbo,1,4,4.0
426871,Genesis,3,16,hbo,1,4,4.0
426872,Genesis,3,16,hbo,1,5,5.0
426873,Genesis,3,16,hbo,1,4,4.0
426874,Genesis,3,16,hbo,1,4,4.0
426875,Genesis,3,16,hbo,1,4,4.0
426876,Genesis,3,17,hbo,1,4,4.0
426877,Genesis,3,17,hbo,1,5,5.0
426880,Genesis,3,17,hbo,3,9,3.0
426881,Genesis,3,17,hbo,1,3,3.0
426882,Genesis,3,17,hbo,1,5,5.0
426883,Genesis,3,17,hbo,1,6,6.0
426884,Genesis,3,18,hbo,1,6,6.0
426885,Genesis,3,18,hbo,1,6,6.0
426887,Genesis,3,19,hbo,2,10,5.0
