id,book,chapter,verse,language,sentence_length,number_words,clause_length
13921,1QM,1,1,Hebrew,1,3,3.0
13923,1QM,1,2,Hebrew,2,30,15.0
13926,1QM,1,3,Hebrew,3,7,2.3333333333333335
13931,1QM,1,4,Hebrew,3,28,9.333333333333334
13928,1QM,1,4,Hebrew,1,1,1.0
13929,1QM,1,4,Hebrew,1,4,4.0
13932,1QM,1,5,Hebrew,1,7,7.0
13933,1QM,1,5,Hebrew,1,4,4.0
13935,1QM,1,6,Hebrew,2,14,7.0
13938,1QM,1,6,Hebrew,3,10,3.3333333333333335
13939,1QM,1,7,Hebrew,1,1,1.0
13940,1QM,1,7,Hebrew,1,20,20.0
13941,1QM,1,8,Hebrew,1,3,3.0
13942,1QM,1,8,Hebrew,1,1,1.0
13943,1QM,1,8,Hebrew,1,2,2.0
13944,1QM,1,9,Hebrew,1,3,3.0
13945,1QM,1,9,Hebrew,1,5,5.0
13947,1QM,1,10,Hebrew,2,7,3.5
13948,1QM,1,10,Hebrew,1,3,3.0
13949,1QM,1,11,Hebrew,1,7,7.0
13950,1QM,1,12,Hebrew,1,8,8.0
13951,1QM,1,12,Hebrew,1,1,1.0
13952,1QM,1,12,Hebrew,1,7,7.0
13953,1QM,1,13,Hebrew,1,11,11.0
13954,1QM,1,13,Hebrew,1,14,14.0
13956,1QM,1,14,Hebrew,2,15,7.5
13958,1QM,1,14,Hebrew,2,14,7.0
13959,1QM,1,15,Hebrew,1,11,11.0
13960,1QM,1,16,Hebrew,1,22,22.0
13961,1QM,1,17,Hebrew,1,4,4.0
13962,1QM,1,17,Hebrew,1,1,1.0
13963,1QM,1,17,Hebrew,1,1,1.0
13964,1QM,1,17,Hebrew,1,3,3.0
13966,1QM,1,18,Hebrew,2,17,8.5
13967,1QM,1,19,Hebrew,1,8,8.0
13968,1QM,1,19,Hebrew,1,1,1.0
13969,1QM,1,19,Hebrew,1,4,4.0
13971,1QM,1,20,Hebrew,2,8,4.0
13972,1QM,1,21,Hebrew,1,8,8.0
13973,1QM,1,22,Hebrew,1,3,3.0
13975,1QM,1,22,Hebrew,2,4,2.0
13976,1QM,1,22,Hebrew,1,4,4.0
13977,1QM,1,22,Hebrew,1,1,1.0
13978,1QM,1,23,Hebrew,1,11,11.0
13979,1QM,1,23,Hebrew,1,1,1.0
13980,1QM,1,23,Hebrew,1,3,3.0
13981,1QM,1,23,Hebrew,1,4,4.0
13982,1QM,1,24,Hebrew,1,1,1.0
13983,1QM,1,24,Hebrew,1,3,3.0
13984,1QM,1,24,Hebrew,1,5,5.0
13985,1QM,1,24,Hebrew,1,1,1.0
13986,1QM,1,24,Hebrew,1,1,1.0
13987,1QM,1,24,Hebrew,1,1,1.0
13988,1QM,1,24,Hebrew,1,1,1.0
13989,1QM,1,24,Hebrew,1,1,1.0
13990,1QM,1,24,Hebrew,1,2,2.0
13991,1QM,1,24,Hebrew,1,1,1.0
13992,1QM,2,1,Hebrew,1,6,6.0
13993,1QM,2,2,Hebrew,1,13,13.0
13995,1QM,2,2,Hebrew,2,11,5.5
13996,1QM,2,3,Hebrew,1,11,11.0
13998,1QM,2,4,Hebrew,2,9,4.5
13999,1QM,2,4,Hebrew,1,5,5.0
14001,1QM,2,5,Hebrew,2,9,4.5
14003,1QM,2,6,Hebrew,2,17,8.5
14004,1QM,2,7,Hebrew,1,29,29.0
14008,1QM,2,8,Hebrew,4,33,8.25
14009,1QM,2,9,Hebrew,1,9,9.0
14011,1QM,2,10,Hebrew,2,33,16.5
14014,1QM,2,11,Hebrew,3,21,7.0
14017,1QM,2,12,Hebrew,3,11,3.6666666666666665
14018,1QM,2,12,Hebrew,1,6,6.0
14019,1QM,2,13,Hebrew,1,12,12.0
14020,1QM,2,13,Hebrew,1,7,7.0
14021,1QM,2,14,Hebrew,1,10,10.0
14023,1QM,2,16,Hebrew,2,16,8.0
14025,1QM,2,17,Hebrew,2,19,9.5
14026,1QM,2,18,Hebrew,1,11,11.0
14027,1QM,2,19,Hebrew,1,22,22.0
14028,1QM,2,20,Hebrew,1,9,9.0
14029,1QM,2,21,Hebrew,1,9,9.0
14031,1QM,2,22,Hebrew,2,15,7.5
14032,1QM,2,22,Hebrew,1,1,1.0
14033,1QM,2,22,Hebrew,1,3,3.0
14034,1QM,2,23,Hebrew,1,17,17.0
14035,1QM,3,1,Hebrew,1,1,1.0
14036,1QM,3,1,Hebrew,1,6,6.0
14037,1QM,3,1,Hebrew,1,1,1.0
14038,1QM,3,1,Hebrew,1,3,3.0
14039,1QM,3,1,Hebrew,1,2,2.0
14040,1QM,3,1,Hebrew,1,2,2.0
14041,1QM,3,3,Hebrew,1,3,3.0
14044,1QM,3,3,Hebrew,3,14,4.666666666666667
14046,1QM,3,3,Hebrew,2,16,8.0
14048,1QM,3,3,Hebrew,2,8,4.0
14049,1QM,3,4,Hebrew,1,6,6.0
14050,1QM,3,4,Hebrew,1,2,2.0
14051,1QM,3,5,Hebrew,1,7,7.0
14052,1QM,3,5,Hebrew,1,2,2.0
14053,1QM,3,6,Hebrew,1,6,6.0
14054,1QM,3,6,Hebrew,1,2,2.0
14056,1QM,3,7,Hebrew,2,17,8.5
14057,1QM,3,7,Hebrew,1,5,5.0
14058,1QM,3,8,Hebrew,1,6,6.0
14059,1QM,3,8,Hebrew,1,6,6.0
14060,1QM,3,9,Hebrew,1,6,6.0
14064,1QM,3,9,Hebrew,4,11,2.75
14066,1QM,3,9,Hebrew,2,6,3.0
14067,1QM,3,10,Hebrew,1,7,7.0
14068,1QM,3,10,Hebrew,1,11,11.0
14071,1QM,3,11,Hebrew,3,19,6.333333333333333
14072,1QM,3,11,Hebrew,1,5,5.0
14073,1QM,3,12,Hebrew,1,6,6.0
14075,1QM,3,12,Hebrew,2,11,5.5
14076,1QM,3,13,Hebrew,1,6,6.0
14078,1QM,3,13,Hebrew,2,5,2.5
14079,1QM,3,14,Hebrew,1,6,6.0
14080,1QM,3,14,Hebrew,1,5,5.0
14082,1QM,3,14,Hebrew,2,7,3.5
14085,1QM,3,15,Hebrew,3,16,5.333333333333333
14086,1QM,3,15,Hebrew,1,2,2.0
14088,1QM,3,16,Hebrew,2,17,8.5
14089,1QM,3,16,Hebrew,1,5,5.0
14090,1QM,4,1,Hebrew,1,8,8.0
14094,1QM,4,2,Hebrew,3,27,9.0
14093,1QM,4,2,Hebrew,1,2,2.0
14096,1QM,4,3,Hebrew,2,11,5.5
14097,1QM,4,3,Hebrew,1,1,1.0
14100,1QM,4,4,Hebrew,2,11,5.5
14099,1QM,4,4,Hebrew,1,2,2.0
14101,1QM,4,4,Hebrew,1,1,1.0
14102,1QM,4,5,Hebrew,1,9,9.0
14103,1QM,4,5,Hebrew,1,2,2.0
14104,1QM,4,6,Hebrew,1,3,3.0
14107,1QM,4,8,Hebrew,2,16,8.0
14106,1QM,4,8,Hebrew,1,2,2.0
14111,1QM,4,9,Hebrew,2,18,9.0
14109,1QM,4,9,Hebrew,1,12,12.0
14110,1QM,4,9,Hebrew,1,3,3.0
14114,1QM,4,10,Hebrew,2,18,9.0
14113,1QM,4,10,Hebrew,1,9,9.0
14117,1QM,4,11,Hebrew,2,18,9.0
14116,1QM,4,11,Hebrew,1,5,5.0
14120,1QM,4,12,Hebrew,2,18,9.0
14119,1QM,4,12,Hebrew,1,5,5.0
14127,1QM,4,13,Hebrew,3,19,6.333333333333333
14126,1QM,4,13,Hebrew,4,8,2.0
14134,1QM,4,14,Hebrew,3,18,6.0
14133,1QM,4,14,Hebrew,4,8,2.0
14136,1QM,4,15,Hebrew,2,11,5.5
14140,1QM,4,15,Hebrew,4,8,2.0
14141,1QM,4,15,Hebrew,1,5,5.0
14142,1QM,4,16,Hebrew,1,4,4.0
14158,1QM,4,24,Hebrew,9,33,3.6666666666666665
14145,1QM,4,17,Hebrew,1,2,2.0
14147,1QM,4,18,Hebrew,1,2,2.0
14149,1QM,4,19,Hebrew,1,2,2.0
14151,1QM,4,20,Hebrew,1,2,2.0
14153,1QM,4,21,Hebrew,1,2,2.0
14155,1QM,4,22,Hebrew,1,2,2.0
14157,1QM,4,23,Hebrew,1,2,2.0
14159,1QM,4,24,Hebrew,1,2,2.0
14160,1QM,4,25,Hebrew,1,9,9.0
14162,1QM,4,26,Hebrew,2,11,5.5
14170,1QM,4,26,Hebrew,8,20,2.5
14171,1QM,4,27,Hebrew,1,9,9.0
14172,1QM,4,28,Hebrew,1,1,1.0
14174,1QM,4,28,Hebrew,2,10,5.0
14182,1QM,4,28,Hebrew,8,16,2.0
14183,1QM,4,29,Hebrew,1,1,1.0
14184,1QM,4,30,Hebrew,1,4,4.0
14185,1QM,4,30,Hebrew,1,4,4.0
14186,1QM,4,31,Hebrew,1,1,1.0
14187,1QM,4,31,Hebrew,1,1,1.0
14188,1QM,4,31,Hebrew,1,4,4.0
14189,1QM,4,32,Hebrew,1,3,3.0
14190,1QM,4,33,Hebrew,1,3,3.0
14191,1QM,4,33,Hebrew,1,2,2.0
14192,1QM,4,35,Hebrew,1,1,1.0
